Date,theftType
3/24/2020,ROBBERY
3/24/2020,ROBBERY
3/24/2020,ROBBERY
3/24/2020,ROBBERY
3/24/2020,ROBBERY
3/24/2020,ROBBERY
3/24/2020,ROBBERY
3/24/2020,ROBBERY
3/24/2020,ROBBERY
3/24/2020,ROBBERY
3/23/2020,ROBBERY
3/23/2020,ROBBERY
3/23/2020,ROBBERY
3/23/2020,ROBBERY
3/23/2020,ROBBERY
3/23/2020,ROBBERY
3/23/2020,ROBBERY
3/23/2020,ROBBERY
3/23/2020,ROBBERY
3/23/2020,ROBBERY
3/23/2020,ROBBERY
3/23/2020,ROBBERY
3/22/2020,ROBBERY
3/22/2020,ROBBERY
3/22/2020,ROBBERY
3/22/2020,ROBBERY
3/22/2020,ROBBERY
3/21/2020,ROBBERY
3/21/2020,ROBBERY
3/21/2020,ROBBERY
3/21/2020,ROBBERY
3/21/2020,ROBBERY
3/21/2020,ROBBERY
3/21/2020,ROBBERY
3/21/2020,ROBBERY
3/21/2020,ROBBERY
3/21/2020,ROBBERY
3/21/2020,ROBBERY
3/21/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/20/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/19/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/18/2020,ROBBERY
3/17/2020,ROBBERY
3/16/2020,ROBBERY
3/8/2020,ROBBERY
2/28/2020,ROBBERY
