date,theftType
3/14/2019,ROBBERY
3/14/2019,ROBBERY
3/14/2019,ROBBERY
3/14/2019,ROBBERY
3/14/2019,ROBBERY
3/14/2019,ROBBERY
3/15/2019,ROBBERY
3/15/2019,ROBBERY
3/15/2019,ROBBERY
3/15/2019,ROBBERY
3/15/2019,ROBBERY
3/15/2019,ROBBERY
3/15/2019,ROBBERY
3/15/2019,ROBBERY
3/15/2019,ROBBERY
3/15/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/16/2019,ROBBERY
3/17/2019,ROBBERY
3/17/2019,ROBBERY
3/17/2019,ROBBERY
3/17/2019,ROBBERY
3/17/2019,ROBBERY
3/17/2019,ROBBERY
3/17/2019,ROBBERY
3/17/2019,ROBBERY
3/17/2019,ROBBERY
3/17/2019,ROBBERY
3/17/2019,ROBBERY
3/17/2019,ROBBERY
3/17/2019,ROBBERY
3/17/2019,ROBBERY
3/17/2019,ROBBERY
3/17/2019,ROBBERY
3/18/2019,ROBBERY
3/18/2019,ROBBERY
3/18/2019,ROBBERY
3/18/2019,ROBBERY
3/18/2019,ROBBERY
3/18/2019,ROBBERY
3/18/2019,ROBBERY
3/18/2019,ROBBERY
3/18/2019,ROBBERY
3/18/2019,ROBBERY
3/18/2019,ROBBERY
3/18/2019,ROBBERY
3/18/2019,ROBBERY
3/18/2019,ROBBERY
3/18/2019,ROBBERY
3/19/2019,ROBBERY
3/19/2019,ROBBERY
3/19/2019,ROBBERY
3/19/2019,ROBBERY
3/19/2019,ROBBERY
3/19/2019,ROBBERY
3/19/2019,ROBBERY
3/19/2019,ROBBERY
3/19/2019,ROBBERY
3/19/2019,ROBBERY
3/19/2019,ROBBERY
3/19/2019,ROBBERY
3/19/2019,ROBBERY
3/19/2019,ROBBERY
3/20/2019,ROBBERY
3/20/2019,ROBBERY
3/20/2019,ROBBERY
3/20/2019,ROBBERY
3/20/2019,ROBBERY
3/20/2019,ROBBERY
3/20/2019,ROBBERY
