Date,theftType,Latitude,Longitude
8/11/2020,BURGLARY,41.8167924,-87.60798515
8/11/2020,BURGLARY,41.91740823,-87.70594448
8/11/2020,BURGLARY,41.89096482,-87.63556235
8/11/2020,BURGLARY,41.88147648,-87.66483362
8/11/2020,BURGLARY,41.76128657,-87.60669365
8/10/2020,BURGLARY,41.88229048,-87.6520495
8/10/2020,BURGLARY,41.91695029,-87.80053045
8/10/2020,BURGLARY,41.80198069,-87.58643991
8/10/2020,BURGLARY,41.88065311,-87.63439665
8/10/2020,BURGLARY,41.70620833,-87.62695076
8/10/2020,BURGLARY,41.87976902,-87.77464648
8/10/2020,BURGLARY,41.95420536,-87.67504434
8/10/2020,BURGLARY,41.89968075,-87.64332079
8/10/2020,BURGLARY,41.9101179,-87.74610455
8/10/2020,BURGLARY,41.77267107,-87.69810406
8/10/2020,BURGLARY,41.78229345,-87.60053879
8/10/2020,BURGLARY,41.93135246,-87.76016528
8/10/2020,BURGLARY,41.85616269,-87.62799001
8/10/2020,BURGLARY,41.73491214,-87.66425628
8/10/2020,BURGLARY,41.91060823,-87.66937921
8/10/2020,BURGLARY,41.88225903,-87.76367422
8/10/2020,BURGLARY,41.88144179,-87.66783781
8/10/2020,BURGLARY,41.7435339,-87.55517972
8/10/2020,BURGLARY,41.88071535,-87.72643416
8/10/2020,BURGLARY,41.78671841,-87.61902383
8/10/2020,BURGLARY,41.90940725,-87.66765396
8/10/2020,BURGLARY,41.89146573,-87.62415304
8/10/2020,BURGLARY,41.87972331,-87.72877531
8/10/2020,BURGLARY,41.89570561,-87.62638339
8/10/2020,BURGLARY,41.91086359,-87.65160614
8/10/2020,BURGLARY,41.87748151,-87.67731946
8/10/2020,BURGLARY,41.87634613,-87.62924788
8/10/2020,BURGLARY,41.75138353,-87.55288975
8/10/2020,BURGLARY,41.89257195,-87.6219812
8/10/2020,BURGLARY,41.89587761,-87.70656663
8/10/2020,BURGLARY,41.80755495,-87.66494613
8/10/2020,BURGLARY,41.68240357,-87.66260769
8/10/2020,BURGLARY,41.80760983,-87.66494556
8/10/2020,BURGLARY,41.8828013,-87.63385545
8/10/2020,BURGLARY,41.91091418,-87.64857834
8/10/2020,BURGLARY,41.91058645,-87.67083428
8/10/2020,BURGLARY,41.88320498,-87.63570554
8/10/2020,BURGLARY,41.89598188,-87.67278133
8/10/2020,BURGLARY,41.91298186,-87.7019538
8/10/2020,BURGLARY,41.88347549,-87.62787697
8/10/2020,BURGLARY,41.80378727,-87.70384856
8/10/2020,BURGLARY,41.90926237,-87.65276939
8/10/2020,BURGLARY,41.90825326,-87.634621
8/10/2020,BURGLARY,41.88236603,-87.63088203
8/10/2020,BURGLARY,41.88194442,-87.63419529
8/10/2020,BURGLARY,41.72102235,-87.67648469
8/10/2020,BURGLARY,41.87826463,-87.62527577
8/10/2020,BURGLARY,41.88283149,-87.63385512
8/10/2020,BURGLARY,41.95460718,-87.72396898
8/10/2020,BURGLARY,41.8853264,-87.63391972
8/10/2020,BURGLARY,41.89146573,-87.62415304
8/10/2020,BURGLARY,41.89516489,-87.62681174
8/10/2020,BURGLARY,41.90980431,-87.65160639
8/10/2020,BURGLARY,41.90980431,-87.65160639
8/10/2020,BURGLARY,41.91117169,-87.65312017
8/10/2020,BURGLARY,41.89275303,-87.6241939
8/10/2020,BURGLARY,41.88221592,-87.63868712
8/10/2020,BURGLARY,41.9038923,-87.63185836
8/10/2020,BURGLARY,41.87291056,-87.63062942
8/10/2020,BURGLARY,41.906276,-87.67001188
8/10/2020,BURGLARY,41.90443253,-87.63000101
8/10/2020,BURGLARY,41.89488209,-87.62768167
8/10/2020,BURGLARY,41.89428616,-87.63119218
8/10/2020,BURGLARY,41.91626858,-87.6569827
8/10/2020,BURGLARY,41.88573313,-87.62550546
8/10/2020,BURGLARY,41.9038923,-87.63185836
8/10/2020,BURGLARY,41.8781136,-87.63421869
8/10/2020,BURGLARY,41.885751,-87.62841014
8/10/2020,BURGLARY,41.91091257,-87.6487694
8/10/2020,BURGLARY,41.89599301,-87.63568392
8/10/2020,BURGLARY,41.75833191,-87.65394127
8/10/2020,BURGLARY,41.88465026,-87.62791546
8/10/2020,BURGLARY,41.89434972,-87.62679134
8/10/2020,BURGLARY,41.93273661,-87.67875282
8/10/2020,BURGLARY,41.87870641,-87.63693686
8/10/2020,BURGLARY,41.91903124,-87.67766568
8/10/2020,BURGLARY,41.9089362,-87.64822109
8/10/2020,BURGLARY,41.89588775,-87.6783873
8/10/2020,BURGLARY,41.87685924,-87.63327767
8/10/2020,BURGLARY,41.88347549,-87.62787697
8/10/2020,BURGLARY,41.89373051,-87.63412554
8/10/2020,BURGLARY,41.89507711,-87.62815701
8/10/2020,BURGLARY,41.90389115,-87.63211919
8/10/2020,BURGLARY,41.91271572,-87.65203098
8/10/2020,BURGLARY,41.89484426,-87.6304625
8/10/2020,BURGLARY,41.87870641,-87.63693686
8/10/2020,BURGLARY,41.88171712,-87.62620344
8/10/2020,BURGLARY,41.89720424,-87.62821441
8/10/2020,BURGLARY,41.89036442,-87.62802154
8/10/2020,BURGLARY,41.8900513,-87.62886969
8/10/2020,BURGLARY,41.8981786,-87.62824042
8/10/2020,BURGLARY,41.89782453,-87.62822963
8/10/2020,BURGLARY,41.87396339,-87.62422172
8/10/2020,BURGLARY,41.89320351,-87.62027367
8/10/2020,BURGLARY,41.89257575,-87.62170937
8/10/2020,BURGLARY,41.91007391,-87.65310611
8/10/2020,BURGLARY,41.89146573,-87.62415304
8/10/2020,BURGLARY,41.89276891,-87.62810894
8/10/2020,BURGLARY,41.90439412,-87.63000143
8/10/2020,BURGLARY,41.90282626,-87.62851255
8/10/2020,BURGLARY,41.90927056,-87.64722927
8/10/2020,BURGLARY,41.89919279,-87.62537153
8/10/2020,BURGLARY,41.88536835,-87.63540291
8/10/2020,BURGLARY,41.89509462,-87.63416208
8/10/2020,BURGLARY,41.89146573,-87.62415304
8/10/2020,BURGLARY,41.90244535,-87.62994201
8/10/2020,BURGLARY,41.88164259,-87.62435348
8/10/2020,BURGLARY,41.88255387,-87.6243838
8/10/2020,BURGLARY,41.89604512,-87.66899749
8/10/2020,BURGLARY,41.88447623,-87.63131061
8/10/2020,BURGLARY,41.88919966,-87.63185753
8/10/2020,BURGLARY,41.89193719,-87.62807402
8/10/2020,BURGLARY,41.91134384,-87.63471588
8/10/2020,BURGLARY,41.89166018,-87.62854717
8/10/2020,BURGLARY,41.89146573,-87.62415304
8/10/2020,BURGLARY,41.8944336,-87.62972507
8/10/2020,BURGLARY,41.8817034,-87.62620359
8/10/2020,BURGLARY,41.89599301,-87.63568392
8/10/2020,BURGLARY,41.89994592,-87.62779856
8/10/2020,BURGLARY,41.8920421,-87.62416503
8/10/2020,BURGLARY,41.85855951,-87.65644584
8/10/2020,BURGLARY,41.87641201,-87.62925083
8/10/2020,BURGLARY,41.89488209,-87.62768167
8/10/2020,BURGLARY,41.89337722,-87.62173353
8/10/2020,BURGLARY,41.90054679,-87.63181049
8/10/2020,BURGLARY,41.88965625,-87.62799627
8/10/2020,BURGLARY,41.9034529,-87.62866729
8/10/2020,BURGLARY,41.88036652,-87.6243529
8/10/2020,BURGLARY,41.87637359,-87.62925125
8/10/2020,BURGLARY,41.89656522,-87.63636822
8/10/2020,BURGLARY,41.91358105,-87.65496466
8/10/2020,BURGLARY,41.70732281,-87.6132894
8/10/2020,BURGLARY,41.89364666,-87.63117714
8/10/2020,BURGLARY,41.89941016,-87.62413127
8/10/2020,BURGLARY,41.89501148,-87.63267912
8/10/2020,BURGLARY,41.9007437,-87.6281167
8/10/2020,BURGLARY,41.88572934,-87.62578094
8/10/2020,BURGLARY,41.89314003,-87.62420431
8/10/2020,BURGLARY,41.88065465,-87.63419834
8/10/2020,BURGLARY,41.88572959,-87.62582133
8/10/2020,BURGLARY,41.88067917,-87.72946033
8/10/2020,BURGLARY,41.89087424,-87.62747604
8/10/2020,BURGLARY,41.90238993,-87.6271729
8/10/2020,BURGLARY,41.89570577,-87.6264091
8/10/2020,BURGLARY,41.88990668,-87.62410051
8/10/2020,BURGLARY,41.89789513,-87.62409661
8/10/2020,BURGLARY,41.89605818,-87.65480487
8/10/2020,BURGLARY,41.89941016,-87.62413127
8/10/2020,BURGLARY,41.88233367,-87.62784179
8/10/2020,BURGLARY,41.89146573,-87.62415304
8/10/2020,BURGLARY,41.81740186,-87.60671998
8/10/2020,BURGLARY,41.88945317,-87.62799483
8/10/2020,BURGLARY,41.89869734,-87.62825308
8/10/2020,BURGLARY,41.88946287,-87.62422294
8/10/2020,BURGLARY,41.89973405,-87.62414238
8/10/2020,BURGLARY,41.8991532,-87.62741058
8/10/2020,BURGLARY,41.89158372,-87.63444644
8/10/2020,BURGLARY,41.89040009,-87.62802114
8/10/2020,BURGLARY,41.92095273,-87.64860698
8/10/2020,BURGLARY,41.90018124,-87.62724131
8/10/2020,BURGLARY,41.90552907,-87.66755466
8/10/2020,BURGLARY,41.89256982,-87.62208039
8/10/2020,BURGLARY,41.90021429,-87.62725931
8/10/2020,BURGLARY,41.89484426,-87.6304625
8/10/2020,BURGLARY,41.88448372,-87.62894922
8/10/2020,BURGLARY,41.89336273,-87.64136506
8/10/2020,BURGLARY,41.89146573,-87.62415304
8/10/2020,BURGLARY,41.90022803,-87.62726284
8/10/2020,BURGLARY,41.88247092,-87.62784763
8/10/2020,BURGLARY,41.90439412,-87.63000143
8/10/2020,BURGLARY,41.84329831,-87.73182311
8/10/2020,BURGLARY,41.90017025,-87.62723776
8/10/2020,BURGLARY,41.89146573,-87.62415304
8/10/2020,BURGLARY,41.89936691,-87.62690868
8/10/2020,BURGLARY,41.89666404,-87.62917534
8/10/2020,BURGLARY,41.89104581,-87.6179508
8/10/2020,BURGLARY,41.69762303,-87.59577026
8/10/2020,BURGLARY,41.89103728,-87.61834388
8/10/2020,BURGLARY,41.89169488,-87.62615583
8/10/2020,BURGLARY,41.89005721,-87.62849134
8/10/2020,BURGLARY,41.89005721,-87.62849134
8/10/2020,BURGLARY,41.90076712,-87.62701446
8/10/2020,BURGLARY,41.90076712,-87.62701446
8/10/2020,BURGLARY,41.89789513,-87.62409661
8/10/2020,BURGLARY,41.9018558,-87.63046642
8/10/2020,BURGLARY,41.89694356,-87.62420631
8/10/2020,BURGLARY,41.89570574,-87.62640542
8/10/2020,BURGLARY,41.89169488,-87.62615583
8/10/2020,BURGLARY,41.86838546,-87.63922971
8/10/2020,BURGLARY,41.89798294,-87.62409563
8/10/2020,BURGLARY,41.89169052,-87.62633952
8/10/2020,BURGLARY,41.89169488,-87.62615583
8/10/2020,BURGLARY,41.89283753,-87.62811186
8/10/2020,BURGLARY,41.89671455,-87.62534014
8/10/2020,BURGLARY,41.89587411,-87.63418296
8/10/2020,BURGLARY,41.89146573,-87.62415304
8/10/2020,BURGLARY,41.90980022,-87.65184155
8/10/2020,BURGLARY,41.89146573,-87.62415304
8/10/2020,BURGLARY,41.88990668,-87.62410051
8/10/2020,BURGLARY,41.85230309,-87.62378932
8/10/2020,BURGLARY,41.89284186,-87.61772141
8/10/2020,BURGLARY,41.89914529,-87.62791022
8/10/2020,BURGLARY,41.88859992,-87.63251047
8/10/2020,BURGLARY,41.88255387,-87.6243838
8/10/2020,BURGLARY,41.89169488,-87.62615583
8/10/2020,BURGLARY,41.89994592,-87.62779856
8/10/2020,BURGLARY,41.68243378,-87.66261104
8/10/2020,BURGLARY,41.8951409,-87.62425563
8/10/2020,BURGLARY,41.89441713,-87.62972525
8/10/2020,BURGLARY,41.89256936,-87.62200694
8/10/2020,BURGLARY,41.87950297,-87.62672358
8/10/2020,BURGLARY,41.90792617,-87.64819515
8/10/2020,BURGLARY,41.89146573,-87.62415304
8/10/2020,BURGLARY,41.90274102,-87.6284841
